timestamp,message,logStreamName
1693337782115,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337782125,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]fe554ec1d8704f8c9617ea839dcf2573
1693337782392,"START RequestId: 0690f6fa-56c9-4384-8bbe-8abc1de098dc Version: $LATEST
",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337782411,"START RequestId: 40330a73-2c97-4cfa-820c-ec384f42a95a Version: $LATEST
",2023/08/29/[$LATEST]fe554ec1d8704f8c9617ea839dcf2573
1693337783146,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]92e2ae0410ab4d21b4df2035e1b0580d
1693337783164,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]04d62a1141e0499684ba61d35b41842c
1693337783298,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]2a78db19ef4340e988c83c858612d13a
1693337783304,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]4edf89a3f396454491f2a4ee1b16c13d
1693337783434,"START RequestId: 8973ef81-f3c0-435c-8c3b-71af8a2235a9 Version: $LATEST
",2023/08/29/[$LATEST]92e2ae0410ab4d21b4df2035e1b0580d
1693337783446,"START RequestId: d4cf6365-d020-4788-b47f-aa188887ec7e Version: $LATEST
",2023/08/29/[$LATEST]04d62a1141e0499684ba61d35b41842c
1693337783575,"START RequestId: 97cd050f-f854-4cc8-aea6-bdf5b218c96c Version: $LATEST
",2023/08/29/[$LATEST]4edf89a3f396454491f2a4ee1b16c13d
1693337783595,"START RequestId: de226ceb-0fa2-47b3-bcb0-3553f40c0aaf Version: $LATEST
",2023/08/29/[$LATEST]2a78db19ef4340e988c83c858612d13a
1693337783947,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]274c3ec326fe463b938439653de4305e
1693337783954,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]36006a5ca1be4959ac22495a6c812b8b
1693337784143,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]aa0ad8a375244b9b8b5c7194c1129167
1693337784214,"START RequestId: 14cdeaa8-9927-408b-b246-ed9d305ca0b4 Version: $LATEST
",2023/08/29/[$LATEST]274c3ec326fe463b938439653de4305e
1693337784240,"START RequestId: 9eff7786-aeb7-443f-9459-2b4cd6be94de Version: $LATEST
",2023/08/29/[$LATEST]36006a5ca1be4959ac22495a6c812b8b
1693337784410,"START RequestId: 71f41ae2-cb68-4daf-b5cc-62ce421bc04a Version: $LATEST
",2023/08/29/[$LATEST]aa0ad8a375244b9b8b5c7194c1129167
1693337784668,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]fe554ec1d8704f8c9617ea839dcf2573
1693337784670,"END RequestId: 40330a73-2c97-4cfa-820c-ec384f42a95a
",2023/08/29/[$LATEST]fe554ec1d8704f8c9617ea839dcf2573
1693337784670,"REPORT RequestId: 40330a73-2c97-4cfa-820c-ec384f42a95a	Duration: 2258.66 ms	Billed Duration: 2259 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 285.58 ms	
",2023/08/29/[$LATEST]fe554ec1d8704f8c9617ea839dcf2573
1693337784682,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337784703,"END RequestId: 0690f6fa-56c9-4384-8bbe-8abc1de098dc
",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337784703,"REPORT RequestId: 0690f6fa-56c9-4384-8bbe-8abc1de098dc	Duration: 2310.96 ms	Billed Duration: 2311 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 276.20 ms	
",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337784820,"START RequestId: fa6a3352-170a-490f-974a-2f4d94e748ff Version: $LATEST
",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337784820,"START RequestId: 04b7a082-e757-42eb-90c6-f3299a8414fa Version: $LATEST
",2023/08/29/[$LATEST]fe554ec1d8704f8c9617ea839dcf2573
1693337784913,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]5f44afbf1e0a4277a01aaafee7d5c64f
1693337784961,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]3e74d0bda4a841868707e17c682aefb7
1693337784965,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]21c9d48945c84cf499fb189b8b5b64c6
1693337785160,"START RequestId: 54f743c5-6e52-459f-ad91-c9e32f3a7567 Version: $LATEST
",2023/08/29/[$LATEST]5f44afbf1e0a4277a01aaafee7d5c64f
1693337785220,"START RequestId: 158f07e1-350a-4441-8f0d-80d98f1e52a7 Version: $LATEST
",2023/08/29/[$LATEST]3e74d0bda4a841868707e17c682aefb7
1693337785233,"START RequestId: caccee7e-9d85-40fd-98d4-2356ac5c54c0 Version: $LATEST
",2023/08/29/[$LATEST]21c9d48945c84cf499fb189b8b5b64c6
1693337785328,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]fe554ec1d8704f8c9617ea839dcf2573
1693337785344,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337785348,"END RequestId: 04b7a082-e757-42eb-90c6-f3299a8414fa
",2023/08/29/[$LATEST]fe554ec1d8704f8c9617ea839dcf2573
1693337785349,"REPORT RequestId: 04b7a082-e757-42eb-90c6-f3299a8414fa	Duration: 528.80 ms	Billed Duration: 529 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
",2023/08/29/[$LATEST]fe554ec1d8704f8c9617ea839dcf2573
1693337785363,"END RequestId: fa6a3352-170a-490f-974a-2f4d94e748ff
",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337785363,"REPORT RequestId: fa6a3352-170a-490f-974a-2f4d94e748ff	Duration: 543.12 ms	Billed Duration: 544 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337785676,"START RequestId: 6cffd8c8-6282-41a3-ba77-d2e868562c6f Version: $LATEST
",2023/08/29/[$LATEST]7ec0f7efa6ce4bb2bc3a532c7eb03dff
1693337785680,"START RequestId: 9bf166f2-09f4-4867-95ab-afe75b7a5e59 Version: $LATEST
",2023/08/29/[$LATEST]fe554ec1d8704f8c9617ea839dcf2573
1693337785749,"INIT_START Runtime Version: python:3.9.v28	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:f4836a715e9c05bcad04e1cc2f311813789bc9d8d1f53ea5aa6b01855bd983f5
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337785761,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]92e2ae0410ab4d21b4df2035e1b0580d
1693337785763,"END RequestId: 8973ef81-f3c0-435c-8c3b-71af8a2235a9
",2023/08/29/[$LATEST]92e2ae0410ab4d21b4df2035e1b0580d
1693337785763,"REPORT RequestId: 8973ef81-f3c0-435c-8c3b-71af8a2235a9	Duration: 2328.38 ms	Billed Duration: 2329 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 288.05 ms	
",2023/08/29/[$LATEST]92e2ae0410ab4d21b4df2035e1b0580d
1693337785781,"START RequestId: 6be63cce-fa3f-4c64-8ab6-8bea842ebb60 Version: $LATEST
",2023/08/29/[$LATEST]92e2ae0410ab4d21b4df2035e1b0580d
